30X9.50R15LT,104Q,LT,6PR,___,7.5,6.5-8.5,249 ,754 
31X10.50R15LT,109Q,LT,6PR,___,8.5,7.0-9.0,276 ,781 
32X11.50R15LT,113Q,LT,6PR,___,9.0,8.0-10.0,290 ,807 
33X12.50R15LT,108Q,LT,6PR,___,10.0,8.5-11.0,307 ,832 
35X12.50R15LT,113Q,LT,6PR,___,10.0,8.5-11.0,310 ,883 
LT265/70R16,110/107Q,LT,6PR,___,8.0,7.0-8.5,278 ,784 
LT305/70R16,118/115Q,LT,8PR,___,9.0,8.0-9.5,305 ,840 
LT225/75R16,115/112Q,LT,10PR,___,6.0,6.0-7.0,221 ,750 
LT245/75R16,120/116Q,LT,10PR,___,7.0,6.5-7.0,240 ,780 
LT265/75R16,123/120Q,LT,10PR,___,7.5,7.0-8.0,257 ,813 
LT285/75R16,122/119Q,LT,8PR,___,8.0,7.5-9.0,287 ,841 
LT315/75R16,121Q,LT,8PR,___,8.5,8.0-10.0,303 ,876 
LT235/85R16,120/116Q,LT,10PR,___,6.5,6.0-7.0,246 ,808 
LT265/70R17,121/118Q,LT,10PR,___,8.0,7.0-8.5,274 ,810 
LT285/70R17,121/118Q,LT,8PR,___,8.5,7.5-9.5,292 ,838 
LT295/70R17,121/118Q,LT,8PR,___,8.5,7.5-10.0,300 ,850 
35X12.50R18LT,123Q,LT,10PR,___,10.0,8.5-11.0,318 ,883 
