205/55R16 ,91W,,6.5 ,5.5-7.5,350 ,615 
225/45R17 ,94W,XL,7.5 ,7.0-8.5,340 ,670 
245/45R17 ,95W,,8.5 ,8.0-9.5,350 ,690 
235/45R17 ,94W,,8.0 ,7.5-9.0,350 ,670 
215/45R17 ,91W,XL,7.0 ,7.0-8.0,340 ,615 
235/55R17 ,99W,,7.5 ,6.5-8.5,350 ,775 
205/50R17 ,93W,XL,7.0 ,6.0-7.5,340 ,650 
225/50R17 ,98W,XL,7.0 ,6.0-8.0,340 ,750 
225/55R16 ,95W,,7.0 ,6.0-8.0,350 ,690 
245/45R18 ,96W,,8.0 ,7.5-9.0,350 ,710 
225/40R18,92W,XL,8.0 ,7.5-9.0,340 ,630 
245/40R18,97W,XL,8.5 ,8.0-9.5,340 ,730 
225/45R18 ,95W,XL,7.5 ,7.0-8.5,340 ,690 
245/50R16Ê ,97W,,8.0 ,7.5-9.0,350 ,730 
235/50R17 ,96W,,7.5 ,7.0-8.5,350 ,710 
215/55R16 ,93W,,7.0 ,6.0-7.5,350 ,650 
225/50R16  ,92W,,7.0 ,7.0-8.0,350 ,630 
215/50R17  ,95W,XL,7.0 ,6.5-7.5,340 ,690 
255/45R18  ,103W,XL,9.0 ,8.5-10.0,340 ,871 
255/40R19  ,100W,XL,9.0 ,8.5-10.0,340 ,800 
275/40R19  ,105W,XL,9.5 ,9.0-11.0,340 ,925 
205/45R17  ,84W,,7.0 ,6.0-8.0,350 ,500 
255/40R17  ,94W,,9.5 ,9.0-11.0,350 ,670 
205/40R17  ,84W,XL,7.5 ,6.5-8.5,340 ,500 
215/45R18,93W,XL,7.5,7.0-8.0,340 ,
215/55R17,98W,XL,7.0,6.5-7.5,340 ,750 
225/50R18,95W,,7.0,6.0-8.0,350 ,
235/40R18,95W,XL,8.5,8.0-9.0,340 ,690 
235/50R18,97W,,7.5,7.0-8.0,300 ,730 
245/40R19,94W,,8.5,8.0-9.5,350 ,670 
245/50R19,101W,,7.5,7.0-8.5,350 ,825 
245/55R18,103W,,7.5,7.0-8.5,350 ,875 
255/35R19,96W,XL,9.0,8.5-10.0,340 ,710 
275/35R18,95W,,9.5,9.0-11.0,350 ,690 
275/40R17,98W,,9.5,9.0-11.0,350 ,750 
