DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,265/70R16,112T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,8.0,7.0-9.0,300,1120,长丰三菱帕杰罗V73 V6   帕杰罗GLS   丰田陆地巡洋舰2700/3400 北汽陆霸3400.富奇系列.丰田霸道2700.北汽福田BJ6470.日产途乐,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,245/70R16,107S,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,7.0,6.5-8.0,300,975,"(郑州日产帕拉丁 BS H/T D689)北京三菱帕杰罗速跑3.0,郑州尼桑奥丁,北京吉普4000/4700/V8.超级切诺基4700/大切诺基4000L.大切诺基4000,起亚索兰托",,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,225/70R16,103S,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,6.5,6.0-7.5,300,875, 铃木VITARA/GRAND VITARA.华泰圣达菲2.0 2.7 .北京吉普2500/2700,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,205/70R15,96T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,6.0,5.0-7.0,300,710,东风本田CRV/进口本田CRV/天津丰田达路特锐CL.铃木吉姆尼.江淮瑞风,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,215/70R15,98T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,6.5,5.5-7.0,300,750,"别克新世纪3.0/GL8 2.5, 君威2.0/2.5.瑞风商务面包车.起亚Carnival.全顺福特.江铃宝典皮卡（新款）云豹水星,林肯城市.日产奇骏X-TRAIL.本田CRV.三星道奇.",,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,265/65R17,112T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,8.0,7.5-9.5,300,1120,四川丰田普拉多.丰田Sequoia Limited.尼桑Frontier皮卡.日产Xterra.三菱帕杰罗V73/V75.丰田霸道普拉多VX/GX.三菱蒙特拉.雷克萨斯GX470/RX.道奇,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,225/65R17,102T,,,免,GB外规格,6.5,6.0-8.0,300,850,丰田汉兰达/丰田RAV4 2.0/铃木超级维特拉2.0/雷克萨斯RX330\350/猎豹CS6 2.4/本田CRV 2.4/雷克萨斯RX300/,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,235/65R17,104T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,7.0,6.5-8.5,300,900,长城哈佛CUV  双环CEO 曙光傲龙 宝马X5/进口 保时捷卡宴V6/进口 沃尔沃XC90/进口 凯迪拉克SRX  大切诺基Laredo/进口 Jeep自由人/进口 三菱Endavor/进口,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,245/65R17,107T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,7.0,7.0-8.5,300,975,丰田汉兰达、.05款大切诺基.金杯通用开拓者.林肯Aviator..通用05款GMC ENVOY.奥兹莫比Bravada,,,
DISCOVERER ATS,/image/img035.jpg,固铂纵横者（ATS）是首款由固铂轮胎亚太区技术研发中心自主设计研发的全路况越野轮胎。独特的SUV和LT花纹设计，确保了轮胎在各种道路环境下卓越的操控性能。并且，胎面花纹采用了优化音频设计，有效降低轮胎行使噪音。,/ats_detail.htm,275/65R17,115T,,,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,8.0,7.5-9.5,300,1215,"丰田FJ,悍马H3,北汽勇士,三菱帕杰罗,长丰猎豹,华泰吉田,途乐Y60（升级）,切诺基（升级）,庆铃RODEO,江铃陆风,丰田陆地巡洋舰80（升级）,日产帕拉丁,福特Excursion",,,
