DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,215/65R16,98H,,6.5,6.0-7.5,300,750,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,广州本田奥德赛.丰田SIENNA XLE.宝马728i/728iL/730iL.路虎Freland  尼桑奇骏  雷诺风景RX4  沃尔沃XC70  本田CRV2.0/2.4.长丰猎豹飞腾 现代途胜.铃木GRAND VITARA1.6.克莱斯勒GRAND VOYAGER 2.5/LX.三菱帕杰罗./起亚 Sportage/日产逍客/大众途观  
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,225/65R17,102H,,6.5,6.0-8.0,300,850,免,GB外规格,"本田CR-V, 丰田RAV4,Highlander,铃木超级维特拉,雷克萨斯RX330 350"
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,235/60R16,100H,,7.0,6.5-8.5,300,800,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"奔驰S320.奔驰S500.300SEL.S320.北京现代途胜.奇瑞瑞虎.沃尔沃.凯迪拉克.宝马L7.宝马735i/iL系.起亚新狮跑.奔驰CL500.大众辉腾 3.0 V6.杭州飞碟.铃木GRAND VITARA.丰田RAV4 2.0.丰田 RAV4, 现代Tucson, 起亚 Sportage，奇瑞瑞虎，现代ix35"
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,235/60R18,103V,,7.0,6.5-8.5,300,875,免,GB外规格,奥迪Q7 3.6/奥迪Q5/凯迪拉克SRX V6/V8 /马自达CX-7/保时捷卡宴/沃尔沃XC90/雷克萨斯RX/RX330/雷克萨斯RX/路虎神行者/沃尔沃XC60/现代/起亚索兰托
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,235/55R17,99V,,7.5,6.5-8.5,300,775,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"大众Tuguan/宝马X3/奥迪A8系列/奥迪A6 2.8/大众辉腾,Multivan/现代雅尊/捷豹XJ8皇家加长版3.0L.奔驰S350/S500.凯迪拉克DTS V8."
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,255/55R18,109V,XL,8.0,7.0-9.0,340,1030,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,奥迪Q7/宝马X5/路虎发现3/路虎揽胜(Range Rover)/ 保时捷卡宴S V8/ 大众途锐V8./凯迪拉克SRX V6 / V8. 3.6L / 4.2L.奔驰ML350/ML500/R350.萨博9-7X.斯巴鲁B9 Tribeca（驰鹏）讴歌MDX 
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,235/65R17*,104V,,7.0,6.5-7.5,300,900,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,长城哈佛CUV  双环CEO 曙光傲龙 宝马X5/进口 保时捷卡宴V6/进口 沃尔沃XC90/进口 凯迪拉克SRX  大切诺基Laredo/进口 Jeep自由人/进口 三菱Endavor/进口
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,265/65R17*,112V,,8.0,7.5-8.5,300,1120,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,四川丰田普拉多.丰田Sequoia Limited.尼桑Frontier皮卡.日产Xterra.三菱帕杰罗V73/V75.丰田霸道普拉多VX/GX.三菱蒙特拉.雷克萨斯GX470/RX.道奇
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,215/60R17*,96V,,6.5,6.0-7.0,300,710,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"东风日产逍客2.0L4WD,三菱ASX 劲炫2.0L,东南道奇酷博2.0"
DISCOVERER HTS,/image/img036.jpg,固铂针对中高端城市SUV特别推出高性能轮胎DISCOVERER HTS。为在城市生活的您提供舒适静音的驾驶感受并带来更好操控性。,/hts_detail.htm,225/60R17*,99V,,6.5,6.0-7.0,300,775,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"上海通用GL8豪华版,林肯城市，雷诺科雷傲，丰田SIENNA,日产贵士。"
